year,state_norm,district_norm,metric,value,state,district
2010,assam,golaghat,women,314.0,ASSAM,GOLAGHAT
2010,assam,guwahati city,children,7.0,ASSAM,GUWAHATI CITY
2010,assam,guwahati city,ipc,76930.0,ASSAM,GUWAHATI CITY
2010,assam,guwahati city,women,741.0,ASSAM,GUWAHATI CITY
2010,assam,hailakandi,children,0.0,ASSAM,HAILAKANDI
2010,assam,hailakandi,ipc,12438.0,ASSAM,HAILAKANDI
2010,assam,hailakandi,women,274.0,ASSAM,HAILAKANDI
2010,assam,hamren,ipc,150.0,ASSAM,HAMREN
2010,assam,jorhat,children,2.0,ASSAM,JORHAT
2010,assam,jorhat,ipc,17883.0,ASSAM,JORHAT
2010,assam,jorhat,women,325.0,ASSAM,JORHAT
2010,assam,kamrup,children,0.0,ASSAM,KAMRUP
2010,assam,kamrup,ipc,26853.0,ASSAM,KAMRUP
2010,assam,kamrup,women,395.0,ASSAM,KAMRUP
2010,assam,karbi anglong,children,4.0,ASSAM,KARBI ANGLONG
2010,assam,karbi anglong,ipc,8154.0,ASSAM,KARBI ANGLONG
2010,assam,karbi anglong,women,82.0,ASSAM,KARBI ANGLONG
2010,assam,karimganj,children,0.0,ASSAM,KARIMGANJ
2010,assam,karimganj,ipc,14965.0,ASSAM,KARIMGANJ
2010,assam,karimganj,women,241.0,ASSAM,KARIMGANJ
2010,assam,kokrajhar,children,0.0,ASSAM,KOKRAJHAR
2010,assam,kokrajhar,ipc,16995.0,ASSAM,KOKRAJHAR
2010,assam,kokrajhar,women,178.0,ASSAM,KOKRAJHAR
2010,assam,lakhimpur,children,0.0,ASSAM,LAKHIMPUR
2010,assam,lakhimpur,ipc,21468.0,ASSAM,LAKHIMPUR
2010,assam,lakhimpur,women,437.0,ASSAM,LAKHIMPUR
2010,assam,morigaon,children,10.0,ASSAM,MORIGAON
2010,assam,morigaon,ipc,13375.0,ASSAM,MORIGAON
2010,assam,morigaon,women,338.0,ASSAM,MORIGAON
2010,assam,n c hills,children,0.0,ASSAM,N.C.HILLS
2010,assam,n c hills,ipc,2721.0,ASSAM,N.C.HILLS
2010,assam,n c hills,women,19.0,ASSAM,N.C.HILLS
2010,assam,nagaon,children,0.0,ASSAM,NAGAON
2010,assam,nagaon,ipc,51277.0,ASSAM,NAGAON
2010,assam,nagaon,women,1252.0,ASSAM,NAGAON
