year,state_norm,district_norm,children,cyber,ipc,sll,women,ipc_log,ipc_state_pct,sll_log,sll_state_pct,women_log,women_state_pct,children_log,children_state_pct,cyber_log,cyber_state_pct,ipc_prev,ipc_growth,ipc_gap_years,women_prev,women_growth,women_gap_years,children_prev,children_growth,children_gap_years,cyber_prev,cyber_growth,cyber_gap_years,severity,risk_class,target_severity,target_year,d_key,s_key,is_reporting_unit,lat,lon,anchor_city,anchor_city_pop,geo_match_type,census_2011_population
2012,west bengal,midnapur,0.0,0.0,4617.0,0.0,0.0,8.43771698991444,0.1935483870967742,0.0,0.5161290322580645,0.0,0.032258064516129,0.0,0.1612903225806451,0.0,0.5161290322580645,4617.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2387096774193548,low,,,midnapur,west bengal,False,,,,,,
2012,uttar pradesh,panchshil nagar,29.0,0.0,3824.0,0.0,161.0,8.249313746260636,0.0384615384615384,0.0,0.5064102564102564,5.087596335232384,0.2179487179487179,3.4011973816621555,0.1794871794871795,0.0,0.5064102564102564,3824.0,0.0,1.0,208.0,-0.2259615384615384,1.0,32.0,-0.09375,1.0,0.0,0.0,1.0,0.2054487179487179,low,,,panchshil nagar,uttar pradesh,False,,,,,,
2012,d n haveli,d and n haveli,8.0,0.0,4651.0,0.0,14.0,8.445052513638554,0.75,0.0,0.75,2.70805020110221,0.75,2.19722457733622,0.75,0.0,0.75,4651.0,0.0,1.0,17.0,-0.1764705882352941,1.0,11.0,-0.2727272727272727,1.0,0.0,0.0,1.0,0.75,high,,,d and n haveli,dadra and nagar haveli and daman and diu,False,,,,,,
2012,punjab,jagraon,0.0,0.0,5444.0,0.0,0.0,8.602453035367061,0.2777777777777778,0.0,0.5138888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5138888888888888,5444.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2868055555555555,low,,,jagraon,punjab,False,,,,,,
2012,delhi,caw,0.0,0.0,0.0,0.0,178.0,0.0,0.5263157894736842,0.0,0.5263157894736842,5.187385805840755,0.4210526315789473,0.0,0.1842105263157894,0.0,0.5263157894736842,0.0,0.0,1.0,130.0,0.3692307692307692,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4710526315789474,medium,,,caw,delhi,False,,,,,,
2012,jammu kashmir,railways kmr,0.0,0.0,10.0,0.0,0.0,2.3978952727983707,0.0555555555555555,0.0,0.5138888888888888,0.0,0.125,0.0,0.4305555555555556,0.0,0.5138888888888888,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2215277777777777,low,,,railways kmr,jammu and kashmir,True,,,,,,
2012,jammu kashmir,railways,0.0,0.0,242.0,0.0,0.0,5.493061443340548,0.1666666666666666,0.0,0.5138888888888888,0.0,0.125,0.0,0.4305555555555556,0.0,0.5138888888888888,242.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2715277777777777,low,,,railways,jammu and kashmir,True,,,,,,
2012,punjab,jalandhar,0.0,0.0,30397.0,0.0,0.0,10.322132095756409,0.9166666666666666,0.0,0.5138888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5138888888888888,30397.0,0.0,1.0,142.0,-1.0,1.0,16.0,-1.0,1.0,0.0,0.0,1.0,0.5743055555555555,medium,,,jalandhar,punjab,False,31.3260152,75.5761829,Jalandhar,862196.0,exact,2193590.0
2012,uttar pradesh,kanshiram nagar,49.0,0.0,4803.0,0.0,162.0,8.477204183199873,0.0641025641025641,0.0,0.5064102564102564,5.093750200806762,0.2307692307692307,3.912023005428146,0.3717948717948718,0.0,0.5064102564102564,4803.0,0.0,1.0,145.0,0.1172413793103448,1.0,62.0,-0.2096774193548387,1.0,0.0,0.0,1.0,0.2387820512820512,low,,,kanshiram nagar,uttar pradesh,False,,,,,,1436719.0
2012,chhattisgarh,kawardha,0.0,0.0,685.0,0.0,0.0,6.530877627725885,0.1,0.0,0.5166666666666667,0.0,0.0333333333333333,0.0,0.05,0.0,0.5166666666666667,685.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1858333333333333,low,,,kawardha,chhattisgarh,False,,,,,,
2012,jammu kashmir,crime kashmir,0.0,0.0,32.0,0.0,0.0,3.49650756146648,0.1111111111111111,0.0,0.5138888888888888,0.0,0.125,0.0,0.4305555555555556,0.0,0.5138888888888888,32.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2465277777777778,low,,,crime kashmir,jammu and kashmir,False,,,,,,
2012,rajasthan,jaipur,0.0,0.0,99527.0,0.0,0.0,11.508194290594329,0.9583333333333334,0.0,0.5104166666666666,0.0,0.0625,0.0,0.0625,0.0,0.5104166666666666,99527.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5776041666666667,medium,,,jaipur,rajasthan,False,26.9124336,75.7872709,Jaipur,3046163.0,exact,6626178.0
2012,rajasthan,g r p,0.0,0.0,8236.0,0.0,0.0,9.016391478941248,0.1041666666666666,0.0,0.5104166666666666,0.0,0.0625,0.0,0.0625,0.0,0.5104166666666666,8236.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1932291666666666,low,,,g r p,rajasthan,False,,,,,,
2012,tamil nadu,viluppuram,0.0,0.0,5959.0,0.0,0.0,8.692825760059396,0.0465116279069767,0.0,0.5116279069767442,0.0,0.0465116279069767,0.0,0.0813953488372093,0.0,0.5116279069767442,5959.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1662790697674419,low,,,viluppuram,tamil nadu,False,11.9368897,79.4872619,Viluppuram,96253.0,exact,3458873.0
2012,jammu kashmir,border,0.0,0.0,3451.0,0.0,0.0,8.146709052203319,0.4444444444444444,0.0,0.5138888888888888,0.0,0.125,0.0,0.4305555555555556,0.0,0.5138888888888888,3451.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3965277777777777,low,,,border,jammu and kashmir,False,,,,,,
2012,jammu kashmir,border district,0.0,0.0,1192.0,0.0,0.0,7.084226422097916,0.2777777777777778,0.0,0.5138888888888888,0.0,0.125,0.0,0.4305555555555556,0.0,0.5138888888888888,1192.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3215277777777777,low,,,border,jammu and kashmir,False,,,,,,
2012,puducherry,pondicherry,0.0,0.0,30420.0,0.0,0.0,10.32288843838277,0.75,0.0,0.625,0.0,0.25,0.0,0.25,0.0,0.625,30420.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.56875,medium,,,pondicherry,puducherry,False,,,,,,
2012,punjab,majitha,0.0,0.0,4151.0,0.0,0.0,8.331345424845724,0.1666666666666666,0.0,0.5138888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.5138888888888888,4151.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2368055555555555,low,,,majitha,punjab,False,,,,,,
2013,andhra pradesh,karimnagar,126.0,0.0,8836.0,0.0,1499.0,9.086702731518004,0.8285714285714286,0.0,0.5142857142857142,7.313220387090301,0.8285714285714286,4.844187086458591,0.7714285714285715,0.0,0.5142857142857142,96728.0,-0.908651062773964,1.0,1399.0,0.0714796283059328,1.0,198.0,-0.3636363636363636,1.0,0.0,0.0,1.0,0.7442857142857143,high,,,karimnagar,andhra pradesh,False,,,,,,3776269.0
2013,andhra pradesh,guntakal rly,0.0,0.0,301.0,0.0,5.0,5.71042701737487,0.0571428571428571,0.0,0.5142857142857142,1.791759469228055,0.0571428571428571,0.0,0.0428571428571428,0.0,0.5142857142857142,3232.0,-0.906868811881188,1.0,6.0,-0.1666666666666666,1.0,2.0,-1.0,1.0,0.0,0.0,1.0,0.1699999999999999,low,,,guntakal rly,andhra pradesh,False,,,,,,
2013,andhra pradesh,cyberabad,156.0,0.0,19992.0,0.0,2524.0,9.903137491271831,0.9714285714285714,0.0,0.5142857142857142,7.83399634170946,0.9714285714285714,5.056245805348308,0.8857142857142857,0.0,0.5142857142857142,141743.0,-0.8589559978270532,1.0,1663.0,0.5177390258568851,1.0,141.0,0.1063829787234042,1.0,0.0,0.0,1.0,0.8485714285714285,high,,,cyberabad,andhra pradesh,False,,,,,,
2013,delhi ut,stf,0.0,0.0,15.0,0.0,0.0,2.772588722239781,0.1,0.0,0.525,0.0,0.1,0.0,0.125,0.0,0.525,181.0,-0.9171270718232044,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.20875,low,,,stf,delhi,False,,,,,,
2013,delhi ut,zz total,0.0,0.0,80184.0,0.0,12853.0,11.29209174394291,1.0,0.0,0.525,9.461410325931231,1.0,0.0,0.125,0.0,0.525,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.79375,high,,,zz total,delhi,True,,,,,,
2013,a n islands,car,1.0,0.0,24.0,0.0,5.0,3.218875824868201,0.4,0.0,0.6,1.791759469228055,0.4,0.6931471805599453,0.4,0.0,0.6,24.0,0.0,1.0,2.0,1.5,1.0,2.0,-0.5,1.0,0.0,0.0,1.0,0.45,medium,,,car,andaman and nicobar islands,False,,,,,,
2013,a n islands,zz total,0.0,0.0,612.0,0.0,102.0,6.418364935936212,1.0,0.0,0.6,4.634728988229636,1.0,0.0,0.2,0.0,0.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8200000000000001,high,,,zz total,andaman and nicobar islands,True,,,,,,
2013,west bengal,zz total,0.0,0.0,169535.0,0.0,29611.0,12.04082057263174,1.0,0.0,0.5161290322580645,10.295934963562988,1.0,0.0,0.0967741935483871,0.0,0.5161290322580645,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.7887096774193548,high,,,zz total,west bengal,True,,,,,,
2013,a n islands,south,38.0,0.0,432.0,0.0,71.0,6.07073772800249,0.8,0.0,0.6,4.276666119016055,0.8,3.6635616461296463,0.8,0.0,0.6,544.0,-0.2058823529411764,1.0,36.0,0.9722222222222222,1.0,19.0,1.0,1.0,0.0,0.0,1.0,0.75,high,,,south,andaman and nicobar islands,False,,,,,,
2013,arunachal pradesh,upper dibang valley,0.0,0.0,15.0,0.0,1.0,2.772588722239781,0.1,0.0,0.525,0.6931471805599453,0.15,0.0,0.25,0.0,0.525,148.0,-0.8986486486486487,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.23125,low,,,upper dibang valley,arunachal pradesh,False,,,,,,
2013,arunachal pradesh,zz total,0.0,0.0,2776.0,0.0,286.0,7.929126487306799,1.0,0.0,0.525,5.659482215759621,1.0,0.0,0.25,0.0,0.525,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.80625,high,,,zz total,arunachal pradesh,True,,,,,,
2013,meghalaya,khasi hills south w,7.0,0.0,82.0,0.0,17.0,4.418840607796598,0.1538461538461538,0.0,0.5384615384615384,2.8903717578961645,0.4615384615384615,2.079441541679836,0.3076923076923077,0.0,0.5384615384615384,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.326923076923077,low,,,khasi hills south w,meghalaya,False,,,,,,
2013,tamil nadu,trichy rural,36.0,0.0,4131.0,0.0,139.0,8.326516830239528,0.4634146341463415,0.0,0.5121951219512195,4.941642422609304,0.5121951219512195,3.610917912644224,0.7439024390243902,0.0,0.5121951219512195,45584.0,-0.9093760968760968,1.0,97.0,0.4329896907216495,1.0,31.0,0.1612903225806451,1.0,0.0,0.0,1.0,0.5134146341463416,medium,,,trichy,tamil nadu,False,,,,,,
2013,tamil nadu,trichy urban,15.0,0.0,2783.0,0.0,64.0,7.931644021454311,0.2195121951219512,0.0,0.5121951219512195,4.174387269895637,0.2439024390243902,2.772588722239781,0.4024390243902439,0.0,0.5121951219512195,36196.0,-0.9231130511658748,1.0,95.0,-0.3263157894736842,1.0,13.0,0.1538461538461538,1.0,0.0,0.0,1.0,0.3158536585365853,low,,,trichy,tamil nadu,False,,,,,,
