year,state_norm,district_norm,children,cyber,ipc,sll,women,ipc_log,ipc_state_pct,sll_log,sll_state_pct,women_log,women_state_pct,children_log,children_state_pct,cyber_log,cyber_state_pct,ipc_prev,ipc_growth,ipc_gap_years,women_prev,women_growth,women_gap_years,children_prev,children_growth,children_gap_years,cyber_prev,cyber_growth,cyber_gap_years,severity,risk_class,target_severity,target_year
2010,andhra pradesh,cyberabad,39.0,0.0,141743.0,0.0,2815.0,11.861777892651814,0.9428571428571428,0.0,0.5142857142857142,7.943072717277933,0.9714285714285714,3.6888794541139363,0.5428571428571428,0.0,0.5142857142857142,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8014285714285714,high,0.8099999999999999,2011.0
2011,andhra pradesh,cyberabad,75.0,0.0,141743.0,0.0,2033.0,11.861777892651814,0.9428571428571428,0.0,0.5142857142857142,7.617759576608505,0.9714285714285714,4.330733340286331,0.6285714285714286,0.0,0.5142857142857142,141743.0,0.0,1.0,2815.0,-0.277797513321492,1.0,39.0,0.9230769230769231,1.0,0.0,0.0,1.0,0.8099999999999999,high,0.8214285714285714,2012.0
2012,andhra pradesh,cyberabad,141.0,0.0,141743.0,0.0,1663.0,11.861777892651814,0.9428571428571428,0.0,0.5142857142857142,7.416979621381154,0.9142857142857143,4.955827057601261,0.8571428571428571,0.0,0.5142857142857142,141743.0,0.0,1.0,2033.0,-0.18199704869650762,1.0,75.0,0.88,1.0,0.0,0.0,1.0,0.8214285714285714,high,0.8485714285714285,2013.0
2013,andhra pradesh,cyberabad,156.0,0.0,19992.0,0.0,2524.0,9.903137491271833,0.9714285714285714,0.0,0.5142857142857142,7.83399634170946,0.9714285714285714,5.056245805348308,0.8857142857142857,0.0,0.5142857142857142,141743.0,-0.8589559978270532,1.0,1663.0,0.5177390258568851,1.0,141.0,0.10638297872340426,1.0,0.0,0.0,1.0,0.8485714285714285,high,,
2010,andhra pradesh,east godavari,16.0,0.0,93193.0,0.0,743.0,11.442438620918947,0.8571428571428571,0.0,0.5142857142857142,6.612041034833092,0.5714285714285714,2.833213344056216,0.4142857142857143,0.0,0.5142857142857142,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.6699999999999999,medium,0.7514285714285714,2011.0
2011,andhra pradesh,east godavari,93.0,0.0,93193.0,0.0,1115.0,11.442438620918947,0.8571428571428571,0.0,0.5142857142857142,7.017506142941256,0.8,4.543294782270004,0.7714285714285715,0.0,0.5142857142857142,93193.0,0.0,1.0,743.0,0.5006729475100942,1.0,16.0,4.8125,1.0,0.0,0.0,1.0,0.7514285714285714,high,0.7414285714285714,2012.0
2012,andhra pradesh,east godavari,94.0,0.0,93193.0,0.0,1072.0,11.442438620918947,0.8571428571428571,0.0,0.5142857142857142,6.9782137426306985,0.7714285714285715,4.553876891600541,0.7285714285714285,0.0,0.5142857142857142,93193.0,0.0,1.0,1115.0,-0.03856502242152467,1.0,93.0,0.010752688172043012,1.0,0.0,0.0,1.0,0.7414285714285714,high,0.5285714285714285,2013.0
2013,andhra pradesh,east godavari,25.0,0.0,6779.0,0.0,1179.0,8.821732380934442,0.5142857142857142,0.0,0.5142857142857142,7.07326971745971,0.7142857142857143,3.258096538021482,0.2571428571428571,0.0,0.5142857142857142,93193.0,-0.9272584850793515,1.0,1072.0,0.09981343283582089,1.0,94.0,-0.7340425531914894,1.0,0.0,0.0,1.0,0.5285714285714285,medium,0.6357142857142858,2014.0
2014,andhra pradesh,east godavari,0.0,0.0,7630.0,0.0,1277.0,8.939974177289633,0.6666666666666666,0.0,0.5238095238095238,7.15305163493748,0.7619047619047619,0.0,0.5238095238095238,0.0,0.5238095238095238,6779.0,0.12553473963711462,1.0,1179.0,0.08312128922815945,1.0,25.0,-1.0,1.0,0.0,0.0,1.0,0.6357142857142858,medium,,
2014,andhra pradesh,guntakal railway,0.0,0.0,490.0,0.0,4.0,6.19644412779452,0.047619047619047616,0.0,0.5238095238095238,1.6094379124341003,0.047619047619047616,0.0,0.5238095238095238,0.0,0.5238095238095238,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.2142857142857143,low,,
